phonemes,prediction,ground_truth,time_ms,tokens_in,tokens_out
AY  |  W IH L  |  G EY V  |  Y UW  |  M AY N  |  F AO R  |  F R IY  | ,I will give you mine for free.,I will give you mine for free.,687.85,100,8
HH AW  |  M AH CH  |  IH Z  |  Y AO R  |  K AA R D  |  W ER TH  | ,How much is your card worth?,How much is your card worth?,712.65,95,7
P L IY Z  |  AO R D ER  |  AW ER  |  R EH G Y AH L ER  |  F UW D  |  F AO R  |  EH V R IY W AH N  | ,Please order our regular food for everyone.,Please order our regular food for everyone.,857.13,113,8
IH T  |  B ER T EH N Z  |  T UW  |  M AY  |  D EY L IY  |  L AY F  |  AE T  |  DH AH  |  P R IH Z AH N T  |  T AY M  | ,It pertains to my daily life at the present time.,It pertains to my daily life at the present time.,748.98,124,11
B AH T  |  Y UW  |  AH V  |  F R EH N D Z  |  DH AE T  |  HH AE V  |  CH IH L D R AH N  | ,But you have friends that have children.,But you have friends that have children.,818.66,107,8
S T OW N D Z  |  W IH DH  |  R UH AH N Z  |  AA N  |  DH EH M  |  S ER V D  |  AE Z  |  CH IH M P L OY Z  | ,Stones with runes on them served as symbols.,Stones with runes on them served as checkpoints.,804.29,117,11
DH EH R  |  W EY Z  |  AH  |  S T AO R IY  |  AH V  |  AH  |  W UH M AH N  |  L AE S T  |  Y IH R  | ,There was a story of a woman last year.,There was a story of a woman last year.,784.6,115,10
AH  |  M EH D AH K AH L  |  P R AA B L AH M  | ,A medical problem.,A medical problem.,691.89,84,4
W AH T  |  EH R IY AH  |  AH V  |  DH AH  |  K AH N T R IY  |  D UW  |  Y UW  |  L AY V  |  IH N  | ,What area of the country do you live in?,What area of the country do you live in?,1063.11,115,10
DH IH S  |  HH AE P AH N D  |  AH B AW T  |  AH  |  W IY K  |  AH G OW  | ,This happened about a week ago.,This happened about a week ago.,794.39,99,7
IH T  |  S IY M Z  |  L AY K  |  Y UW  |  W AO K  |  K W ER K ER  | ,It seems like you work quicker.,It seems like you walk quicker.,818.4,98,7
IH N  |  DH AH  |  CH IH S T R AH K T  | ,In the construct.,In the district.,1001.9,81,4
DH EY  |  S T AA R T AH N  |  L UH K IH NG  |  IH N T UW  |  P R OW G R AE M Z  | ,They started looking into programs.,They started looking into programs.,744.82,101,6
JH OY N  |  AH S  |  F AO R  |  AH N D  |  AH P AH M IH NG  |  IH V EH N T  | ,Join us for an upcoming event.,Join us for an upcoming event.,915.28,102,7
D UW  |  Y UW  |  B IH L IY V  |  IH N  |  DH AH  |  T EH L AH S  |  K AH M P OY Z  | ,Do you believe in the Tellers Compose?,Do you believe in the Dallas Cowboys?,745.91,107,9
D UW  |  Y UW  |  F AY N D  |  Y ER S EH L F  |  F AH N IY  | ,Do you find yourself funny?,Do you find yourself funny?,689.17,94,6
T UW  |  G EH T  |  IH N T UW  |  DH AH  |  S IH S T AH M Z  |  V EH R IY  |  D IH F AH K AH L T  | ,"To get into the systems, very difficult.",To get into the system's very difficult.,946.74,112,9
S EH K AH N  |  JH EH N ER EY SH AH N  | ,Second generation.,Second generation.,691.32,80,3
W IY L  |  R AH F  |  T AY M  |  K AE M P IH NG  | ,We'll rough time camping.,Real rough type camping.,1106.37,88,5
S OW  |  AY  |  M EY D  |  M AY  |  OW N  |  V ER ZH AH N  | ,So I made my own version.,So I made my own version.,692.57,94,7
DH EY  |  S EH D  |  IH T  |  W AA Z  |  R IH L IY  |  R IH V AH T IY  | ,They said it was really riveting.,They said it was really riveting.,961.68,100,7
DH AE T  |  W UH D  |  B IY  |  G UH D  | ,That would be good.,That would be good.,645.66,84,5
AY M  |  N AA T  |  B IH L D IH NG  |  EH N IY  |  R IH Z ER V Z  | ,I'm not building any reserves.,I'm not building any reserves.,695.29,96,6
JH AH S T  |  B UH T  |  Y AO R  |  P EY P ER  |  IH N  |  DH AH  |  S EY M  |  P L EY S  |  EH V ER IY  |  D EY  | ,Just put your paper in the same place every day.,Just put your paper in the same place every day.,887.5,123,11
P UH L  |  AO L  |  DH IH S  |  W EY T  | ,Pull all this weight.,Pull all this weight.,899.72,83,5
B R IH NG  |  DH AH  |  P AA T  |  T UW  |  AH  |  B OY L  | ,Bring the pot to a boil.,Bring the pot to a boil.,699.4,94,7
IH T S  |  M AY  |  V OY S  | ,It's my voice.,It's my voice.,1051.91,78,4
W AH T  |  D AH Z  |  DH AH  |  AH M EH R IH K AH N  |  R IY P AO R T  |  S EY  | ,What does the American report say?,What does the American report say?,822.21,103,7
SH OW SH AH L  |  S T EY T S  |  G IH V  |  M AO R  |  B EH N AH V IY Z  |  T UW  |  EH M P L OY IY Z  | ,Social states give more benefits to employees.,Social states give more benefits to employees.,680.17,116,8
AY  |  AE M  |  T EY K IH NG  |  M AY  |  K AA R  |  T UW  |  CH EH K  |  DH IH S  |  AW T  |  IH N  |  DH AH  |  IY V N IH NG  | ,I am taking my car to check this out in the evening.,I am taking my car to check this out in the evening.,1023.37,129,13
DH IH S  |  K AA R  |  IH Z  |  S UW P ER  |  IH K S P EH N S IH V  | ,This car is super expensive.,This car is super expensive.,685.25,96,6
HH ER  |  F R EH N D  |  W IH L  |  TH IH NG K  |  HH ER  |  F AO R  |  DH AH  |  K AA R D  | ,Her friend will thank her for the card.,Her friend will thank her for the card.,770.81,109,9
ER N IH JH AH N L IY  |  IH T  |  W AA Z  |  AH  |  Y IH R  |  L AO NG  |  N ER S IH NG  |  P R OW G R AE M  | ,Originally it was a year long nursing program.,"Originally, it was a year long nursing program.",760.19,118,9
W AH T  |  HH AE P AH N D  |  T UW  |  DH AH  |  S AW N D  | ,What happened to the sound?,What happened to the sound?,821.87,92,6
T EH L  |  M IY  |  Y AO R  |  EH JH AH K EY SH AH N  |  S T AO R IY  | ,Tell me your education story.,Tell me your education story.,726.75,99,6
DH EH R Z  |  G UH D  |  M Y UW Z IH K  |  AH N D  |  G UH D  |  F UW D  | ,There's good music and good food.,There's good music and good food.,687.4,100,7
W AH T  |  IH Z  |  DH AH  |  K AA S T  |  AH V  |  IY CH  |  P IY S  |  Y UW  |  S EH L  | ,What is the cost of each piece you sell?,What is the cost of each piece you sell?,726.02,112,10
AY  |  HH AY  |  HH AO P AH N  |  L IH S AH N  |  T UW  |  DH IH S  |  W AH N D ER F AH L  |  M Y UW Z IH K  | ,I hope you listen to this wonderful music.,I often listen to this wonderful music.,734.38,116,9
AY  |  HH AE V  |  T UW  |  G OW  |  AH K AO S  |  DH AH  |  S IH T IY  |  T UW  |  S IY  |  HH ER  | ,I have to go across the city to see her.,I have to go across the city to see her.,967.51,116,11
M AY  |  T IH SH AH Z  |  IH K Z AE K T L IY  |  N UW  |  M AY  |  M AY N D  | ,My teachers exactly knew my mind.,My teachers exactly knew my mind.,669.32,102,7
HH AW  |  L AO NG  |  AE V  |  Y UW  |  B IH N  |  M EH R IY D  | ,How long have you been married?,How long have you been married?,674.18,96,7
Y AO R  |  IH K S P IH R IY AH N S  |  IH Z  |  HH IH Z  |  V EH R IY  |  G UH D  |  F AO R  |  DH IH S  |  JH AA B  | ,Your experience is also very good for this job.,Your experience is very good for this job.,899.53,124,10
HH IH Z  |  G UH D  |  L AH K  |  W IH L  |  HH EH L P  |  HH IH M  |  AH V OY D  |  P R AA B L AH M Z  | ,His good luck will help him avoid problems.,His good luck will help him avoid problems.,1272.37,116,9
AY  |  AE M  |  F R IY  |  T UW  |  M EY K  |  AH  |  D IH S IH ZH AH N  |  AH B AW T  |  M AY  |  K AA L IH JH  | ,I am free to make a decision about my college.,I am free to make a decision about my college.,805.27,123,11
AH V OY D  |  K AE P IH T AH L  |  P AH JH IH SH M AH N T  | ,Avoid capital punishment.,Avoid capital punishment.,654.87,91,4
G EH T IH NG  |  M EH R IY D  |  IH Z  |  N AA T  |  AH  |  K R AY M  | ,Getting married is not a crime.,Getting married is not a crime.,695.14,99,7
W AH T  |  HH AE P AH N D  |  AE F T ER  |  AY  |  L EH F T  | ,What happened after I left?,What happened after I left?,838.15,93,6
L EH T S  |  M EY K  |  AH  |  P R AH G R UW M  |  F AO R  |  K IH D Z  | ,Let's make a program for kids.,Let's make a program for kids.,709.82,100,7
L AY T  |  K L OW DH Z  |  AA R  |  B AE D  | ,Light clothes are bad.,Light clothes are bad.,614.34,85,5
HH AW  |  M EH N IY  |  M AY L Z  |  W ER  |  Y UW  |  D R AY V IH NG  |  T AH D EY  | ,How many miles were you driving today?,How many miles were you driving today?,863.25,106,8
G AH V ER N M AH N T  |  W IH L  |  R AH N  |  F R AH M  |  DH AH  |  K AE P IH T AH L  |  S IH T IY  | ,Government will run from the capital city.,Government will run from the capital city.,716.0,114,8
DH EY  |  W IH L  |  T EY K  |  AH P  |  R IY S AY K AH L IY  |  F R AH M  |  N AW  |  AA N  | ,They will take up recycling from now on.,They will take up recycling from now on.,822.8,112,9
M AY  |  Y AA R D  |  IH Z  |  V EH R IY  |  K L IY N  |  T AH D EY  | ,My yard is very clean today.,My yard is very clean today.,717.96,100,7
AY  |  AE M  |  N AA T  |  AH  |  F AE N  |  AH V  |  DH IH S  |  K AY N D  |  AH V  |  M Y UW Z IH K  | ,I am not a fan of this kind of music.,I am not a fan of this kind of music.,1053.57,117,11
N AH TH IH NG  |  IH Z  |  M AO R  |  IH M P AO R T AH N T  |  T UW  |  HH IH M  |  DH AE N  |  P AW ER  | ,Nothing is more important to him than power.,Nothing is more important to him than power.,743.1,114,9
AY  |  L AY K  |  T UW  |  W ER K  |  IH N  |  DH IH S  |  S M AO L  |  R UW M  | ,I like to work in this small room.,I like to work in this small room.,884.99,105,9
DH EH R  |  S IH CH UW EY SH AH N  |  IH Z  |  N AA T  |  AE Z  |  B AE D  | ,Their situation is not as bad.,Their situation is not as bad.,695.1,99,7
DH IH S  |  IH Z  |  T IY CH ER Z  |  F EY V ER IH T  |  T AA P IH K  | ,This is teacher's favorite topic.,This is teacher's favourite topic.,726.72,97,7
SH IY  |  HH AE Z  |  IH K S P IH R IY AH N S  |  IH N  |  EH K JH AH K EY SH AH N  | ,She has experience in education.,She has experience in education.,1202.94,104,6
DH IH S  |  W IH L  |  N AA T  |  B EH T ER  |  AE Z  |  M AH CH  |  IH N  |  DH AH  |  L AO NG  |  R AH N  | ,This will not matter as much in the long run.,This will not matter much in the long run.,801.0,118,11
AY  |  T R AY N D  |  AH  |  L AA T  |  B AH T  |  DH IH S  |  IH Z  |  S T IH L  |  R AO NG  | ,I tried a lot but this is still wrong.,"I tried a lot, but this is still wrong.",824.1,112,10
AY  |  P EY D  |  AO L  |  M AY  |  T EH K S AH Z  |  DH AH  |  N AY T  |  B IH F AO R  | ,I paid all my taxes the night before.,I paid all my taxes the night before.,1251.21,108,9
DH IH S  |  IH Z  |  IH Z  |  AH  |  G R OW IH NG  |  K AH M P AH N IY  |  W IH DH  |  M EH N IY  |  EH AH P L OY Z IY  | ,This is a growing company with many employees.,This is a growing company with many employees.,938.59,125,9
DH AH  |  L AO  |  K IH V Z  |  EH V R IY W AH N  |  DH IH S  |  W AH N  |  R AY T  | ,The law gives everyone this one right.,The law gives everyone this one right.,693.14,106,8
L IH S AH N  |  T UW  |  Y AO R  |  P EH R AH N T S  |  R AY T  |  N AW  | ,Listen to your parents right now.,Listen to your parents right now.,812.96,100,7
W AH T S  |  DH AH  |  AH K EY ZH AH N  |  T AH D EY  | ,What's the occasion today?,What's the occasion today?,764.04,89,5
Y AO R  |  M AH DH ER  |  S EH D  |  DH IH S  |  IH Z  |  IH N AH F  | ,Your mother said this is enough.,Your mother said this is enough.,899.06,97,7
HH AW  |  M EH N IY  |  B UH K S  |  AA N  |  L AO  |  T UW  |  Y UW  |  HH AE V  | ,How many books on law do you have?,How many books on law do you have?,818.06,106,9
W IH CH  |  B UH K  |  AA R  |  Y UW  |  R EH D IH NG  |  T UW  |  R IH L D R AH N  | ,Which book are you reading to Rildron?,Which book are you reading to children?,853.83,105,10
DH IH S  |  S IY M Z  |  L AY K  |  AH  |  L AA R JH  |  K AE CH  | ,This seems like a large catch.,This seems like a large catch.,659.43,98,7
D UW  |  Y UW  |  HH AE V  |  Y AO R  |  K R EH D AH T  |  K AA R D  | ,Do you have your credit card?,Do you have your credit card?,721.48,98,7
DH AH  |  K AH P AH L  |  K AY T  |  M EH R IY D  |  L AE S T  |  W IY K  | ,The couple got married last week.,The couple got married last week.,713.98,102,7
AY  |  HH AE V  |  L AY V D  |  IH N  |  IH L AH N OY  |  AH N D  |  D AE L AH S  | ,I have lived in Illinois and Dallas.,I have lived in Illinois and Dallas.,1161.32,105,8
T EH L AH V IH ZH AH N  |  S ER V AH S  |  IH Z  |  AO F AH L  |  HH IY R  | ,Television service is awful here.,Television service is awful here.,813.32,100,7
AY  |  W AA Z  |  IH N  |  DH AH  |  T AH K IH NG  |  S K UW L  |  ER IH JH AH N AH L IY  | ,I was in the cooking school originally.,I was in the nursing school originally.,1072.22,108,8
R IY S AY K AH L IH IY  |  L AO  |  D IH P EH N D Z  |  AA N  |  Y AO R  |  S IH T IY  | ,Recycling law depends on your city.,Recycling law depends on your city.,816.08,108,8
AY M  |  W AA CH IH NG  |  M AY  |  K IH D Z  |  EH JH AH K EY SH AH N  | ,I'm watching my kids' education.,I'm watching my kid's education.,675.09,97,7
AY  |  B AA R T  |  DH IY S  |  N UW  |  K L OW DH Z  |  T AH D EY  | ,I bought these new clothes today.,I bought these new clothes today.,713.44,98,7
DH IH S  |  M IY  |  S IY M  |  IH M P AO R T AH N T  |  N AW  | ,This may seem important now.,This may seem important now.,650.0,96,6
T AE K S  |  S IY Z AH N  |  IH Z  |  S ER T AH N L IY  |  IH N T AH R EH S T IH NG  | ,Tax season is certainly interesting.,Tax season is certainly interesting.,759.34,105,6
DH EH R Z  |  S OW  |  M AH CH  |  N OY Z  |  IH N  |  DH AH  |  K AE P IH T AH L  |  S IH T IY  | ,There's so much noise in the capital city.,There's so much noise in the capital city.,677.32,113,9
Y AO R  |  S T AO R IY  |  IH Z  |  N AA T  |  K L IH R  |  EH N IY M AO R  | ,Your story is not clear anymore.,Your story is not clear anymore.,668.2,103,7
DH IH S  |  R UW M  |  IH Z  |  K W AY T  |  N IY T  | ,This room is quite neat.,This room is quite neat.,711.21,91,6
T R AH IH L D R AH N  |  T UW  |  N AA T  |  L AY K  |  P AH JH IH SH M AH N T  | ,Children do not like punishment.,Children do not like punishment.,715.55,102,6
M AY  |  W AY F  |  TH IH NG Z  |  DH IH S  |  IH Z  |  N AA T  |  W ER TH  |  DH AH  |  T AY M  | ,My wife thinks this is not worth the time.,My wife thinks this is not worth the time.,717.26,112,10
DH EY  |  M EY K  |  L EH S  |  M EH N IY  |  IH N  |  DH IH S  |  S IY Z AH N  |  W IH DH  |  S N OW  | ,They make less money in this season with snow.,They make less money in this season with snow.,1377.26,117,10
W IH L  |  Y UW  |  S P EH N D  |  AO L  |  DH AE T  |  T AY M  |  R EH D IH NG  |  Y AO R  |  B UH K  | ,Will you spend all that time reading your book?,Will you spend all that time reading your book?,686.67,116,10
AY  |  AE M  |  HH IY R  |  F AO R  |  M AY  |  F R EH N D Z  |  K AH M P AH N IY  | ,I am here for my friend's company.,I am here for my friend's company.,887.42,107,8
Y UW  |  SH UH D  |  V OW T  |  F AO R  |  DH AH  |  F Y UW CH ER  | ,You should vote for the future.,You should vote for the future.,1077.95,96,7
DH AH  |  M AO R N IH NG  |  S AH N  |  L AY T  |  IH Z  |  W AY T  | ,The morning sunlight is white.,The morning sun light is white.,825.33,97,6
M AY  |  T IY CH ER Z  |  AA R  |  V EH R IY  |  EH L P F AH L  | ,My teachers are very helpful.,My teachers are very helpful.,576.48,96,6
IH Z  |  DH IH S  |  N OY Z  |  F R AH M  |  DH AH  |  D IH V IY  | ,Is this noise from the TV?,Is this noise from the TV?,681.11,98,7
IH T  |  Y AO R  |  F UW D  |  IH T S  |  G EH T IH NG  |  K OW L D  | ,"Eat your food, it's getting cold.","Eat your food, it's getting cold.",662.68,98,8
HH UW  |  B EH S AH S AH N T S  |  F R AH M  |  DH IH S  |  P AA L AH S IY  | ,New businesses from this policy.,Who benefits from this policy?,777.12,100,6
M AY  |  D AO T ER  |  L AY K S  |  T UW  |  P L EY  |  AW T S AY D  |  IH N  |  DH AH  |  Y AA R D  | ,My daughter likes to play outside in the yard.,My daughter likes to play outside in the yard.,869.26,115,10
AH  |  W IH L  |  AH N D ER S T AE N D  |  W EH N  |  AY  |  T AO K  |  T UW  |  HH IH M  | ,I will understand when I talk to him.,He will understand when I talk to him.,999.08,109,9
HH AW  |  M EH N IY  |  K AE N D AH W AH L T IY Z  |  W ER  |  DH EH R  | ,How many casualties were there?,How many casualties were there?,710.99,99,6
L AH G ZH ER IY  |  D AH Z  |  N AA T  |  HH AE V  |  T UW  |  B IY  |  IH K S P EH N S IH V  | ,Luxury does not have to be expensive.,Luxury does not have to be expensive.,728.94,112,8
AY  |  L AY K  |  AO L  |  DH IH S  |  OW P ER N  |  S P EY S  |  ER AW N D  |  DH AH  |  HH AW S  | ,I like all this open space around the house.,I like all this open space around the house.,808.03,113,10
IY V N IH NG  |  IH Z  |  DH AH  |  B EH S T  |  T AY M  |  F AO R  |  R EH D IH NG  | ,Evening is the best time for reading.,Evening is the best time for reading.,1153.11,106,9
N AH TH IH NG  |  K AE N  |  S T AH P  |  M IY  |  F R AH M  |  D UW IH NG  |  DH IH S  | ,Nothing can stop me from doing this.,Nothing can stop me from doing this.,1304.29,107,8
SH IY  |  W IH L  |  S IH T  |  AH R AO S  |  DH AH  |  R UW M  | ,She will sit across the room.,She will sit across the room.,787.8,96,7
S EH V AH N T IY  |  AO F AH L  |  Y IH R Z  | ,Seventy awful years.,Seventy awful years.,967.11,85,5
AH P IY L  |  AH V  |  N AH G ZH ER IY  |  TH IH NG Z  |  IH Z  |  S AH M TH IH NG  |  EH L S  | ,A pile of luxury things is something else.,Appeal of luxury things is something else.,726.33,111,9
DH IH S  |  IH Z  |  AH  |  P EH S AH L  |  S IH T IY  |  IH Z  |  DH AH  |  S P EH SH AH L  |  K AH N T R IY  | ,This is a peaceful city in a special country.,This is a special city in the special country.,728.76,120,10
S ER T AH N  |  P IY P AH L  |  EH N JH OY  |  DH IH S  |  K AY N D  |  AH V  |  M Y UW Z IH K  | ,Certain people enjoy this kind of music.,Certain people enjoy this kind of music.,764.43,113,8
K AE M P IH NG  |  IH Z  |  K AE T IH NG  |  M AO R  |  IH K S P EH N S IH V  | ,Camping is getting more expensive.,Camping is getting more expensive.,717.31,100,6
HH UW  |  TH AO T  |  AH V  |  DH IH S  |  W AH N D ER F AH L  |  AY D IY AH  | ,Who thought of this wonderful idea?,Who thought of this wonderful idea?,710.22,101,7
S AH M  |  M AO R  |  T AY M  |  IH N  |  DH AH  |  M AO R N IY  |  W UH D  |  B IY  |  N AY S  | ,Some more time in the morning would be nice.,Some more time in the morning would be nice.,707.56,115,10
W AH T  |  W AA Z  |  DH AH  |  IH K S Z AE K T  |  L AY N  |  IH N  |  DH AH  |  P L EY  | ,What was the exact line in the play?,What was the exact line in the play?,753.35,109,9
W IY  |  M AH S T  |  AO L W EY Z  |  G IY T  |  L UH K IH NG  |  F AO R W ER D  | ,We must always keep looking forward.,We must always keep looking forward.,702.6,105,7
CH EH K  |  DH AH  |  OY L NG  |  IH N  |  DH AH  |  K AA R  |  F ER S T  | ,Check the oil in the car first.,Check the oil in the car first.,682.79,101,8
DH AH  |  V Y UW  |  F R AH M  |  HH IY R  |  IH Z  |  N AA T  |  W IH DH  |  IH T  | ,The view from here is not worth it.,The view from here is not worth it.,767.65,107,9
HH IY  |  IH Z  |  K W AY T  |  AH  |  S OW SH AH L  |  P ER S AH N  | ,He is quite a social person.,He is quite a social person.,735.03,98,7
DH EH  |  W IH L  |  B IY  |  M AO R  |  L AY K  |  S AH M W EH R  |  ER AW N D  |  HH IY R  | ,"There will be more, like somewhere around here.",There will be more light somewhere around here.,777.36,112,10
DH AE T  |  W UH M AH N  |  W IH L  |  CH EH K  |  DH IH S  |  F AE K T  | ,That woman will check this fact.,That woman will check this fact.,774.82,99,7
D UW  |  N AA T  |  S EH L  |  Y AO R  |  F R IY  |  T AY M  |  AA R  |  Y AO R  |  S P EY S  |  AH V  |  M AY N D  | ,Do not sell your free time or your space of mind.,Do not sell your free time or your peace of mind.,968.6,126,12
IH T  |  AO L  |  W ER K T  |  AW T  |  K W AY T  |  W EH L  |  F AO R  |  AW ER  |  F AE M AH L IY  | ,It all worked out quite well for our family.,It all worked out quite well for our family.,796.49,116,10
DH AH  |  JH OY  |  AH V  |  AE N  |  ER L IY  |  M ER R IY  |  M ER K  | ,The joy of an early morning walk.,The joy of an early morning walk.,769.42,103,8
IH T  |  IH Z  |  IY Z IY ER  |  T UW  |  G OW  |  W IH DH AW T  |  M UW N  | ,It is easier to go without money.,It is easier to go without food.,858.48,103,8
M AY  |  V IH ZH AH N  |  D AH Z  |  N AA T  |  AH B AW N T  |  T UW  |  EH N IY TH IH NG  | ,My vision does not amount to anything.,My vision does not amount to anything.,960.27,109,8
DH AH  |  B EY B IY  |  W IH L  |  S T IH K  |  IH Z  |  IH T  |  IH N  |  DH AH  |  F UW D  | ,The baby will stick his hand in the food.,The baby will stick its head in the food.,681.46,112,10
HH AW  |  OW Z B AH N  |  D UW  |  Y UW  |  G OW  |  F AO R  |  AH  |  W AO K  |  W IH DH  |  HH IH M  | ,How often do you go for a walk with him?,How often do you go for a walk with him?,738.95,116,11
W IY  |  SH UH D  |  T AH N  |  ER AW N D  |  AH T  |  B IH G  |  ER AH P  |  F R AH M  |  G UW  | ,We should turn around and pick up some food.,We should turn around and pick her up from school.,889.92,114,10
DH AH  |  G AY  |  W IH L  |  G OW  |  N AO TH  |  DH AH  |  HH IY R  | ,The guy will go north this year.,The car will go north from here.,703.21,99,8
DH EY  |  M AH S T  |  TH IH NG K  |  IH F  |  DH EY  |  K AE N  |  L AH V  |  W IH DH  |  DH IH S  |  D IH S IH ZH AH N  | ,They must think if they can live with this decision.,They must think if they can live with this decision.,966.95,124,11
DH AE T  |  W AA Z  |  AH  |  K L OW S  |  K AO L  | ,That was a close call.,That was a close call.,9195.18,89,6
F ER S T  |  AH V  |  AO L  |  R IH M EH M B ER  |  T UW  |  B IY  |  N AY S  | ,"First of all, remember to be nice.","First of all, remember to be nice.",886.31,104,9
K AE N  |  Y UW  |  B UH T  |  DH AH  |  B UH K  |  D AW  |  F AO R  |  AH  |  Y IY L  |  B IH Z AH T S  | ,Can you put the book down for a few minutes?,Can you put the book down for a few minutes?,840.07,119,11
Y EH S  |  AY  |  AE M  |  T EY K IH NG  |  T UW  |  Y UW  | ,"Yes, I am talking to you.","Yes, I am talking to you.",727.41,93,8
DH IH S  |  W IH L  |  M EY K  |  S AH M B AA D IY  |  K EH R  |  F AO R  |  DH AH  |  S IH CH AH W EY ZH AH N  | ,This will make somebody care for the situation.,This will make somebody care for the situation.,722.18,119,9
W IY W IY  |  T AO K T  |  AH M AW T  |  DH IH S  |  DH AH  |  AH DH ER  |  D EY  | ,We talked about this the other day.,We talked about this the other day.,872.89,105,8
W AH T  |  W AA Z  |  Y AO R  |  IH K S P IH R IY AH N S  |  W ER K IH NG  |  W IH DH  |  HH IH M  | ,What was your experience working with him?,What was your experience working with him?,823.26,112,8
SH IY  |  W AA Z  |  DH AH  |  D IH V IH ZH AH N  |  HH EH D  |  IH N  |  DH AH  |  K AA L IH JH  | ,She was the division head in the college.,She was the division head in the college.,758.22,113,9
HH IY  |  W AO N T IH T  |  T UW  |  M EY K  |  F AO R  |  M AY L Z  | ,He wanted to make four miles.,He wanted to walk for miles.,689.67,99,7
P L IY Z  |  DH AE T S  |  AH G AH F  |  M Y UW Z IH K  |  F AO R  |  T AH D EY  | ,"Please, that's enough music for today.","Please, that's enough music for today.",1192.7,104,8
W IY  |  N IY D  |  T UW  |  W ER K  |  M AO R  |  AA N  |  DH AH  |  S OW ZH AH L  |  P AA R T  | ,We need to work more on the social part.,We need to work more on the social part.,907.86,116,10
DH IH S  |  M EH R IY D  |  K AH P AH L  |  W IH L  |  EH N JH OY  |  DH EH R  |  V IH Z IH T  | ,This married couple will enjoy their visit.,This married couple will enjoy their visit.,703.2,112,8
AY  |  G EH S  |  S AH M TH IH NG  |  AE Z  |  T UW  |  G OW  | ,I guess something has to go.,I guess something has to go.,878.11,94,7
D UW  |  Y UW  |  N OW  |  DH AE T  |  HH AE V  |  N EH V ER  |  S IY N  |  AH  |  B AH JH IY  | ,Do you know that I have never seen a budget?,Do you know that I've never seen a monkey?,990.79,114,11
DH EY V  |  EH N JH OY D  |  DH AH  |  S K UW L  | ,They enjoyed the school.,They've enjoyed the school.,874.51,88,5
P R IH NG Z  |  AH V  |  P ER ZH AH N  | ,Prince of Persia.,Prince of Persia.,653.8,82,4
S IY IH NG  |  AE Z  |  Y UW  |  AH V  |  G AA T  |  S AH M  |  AH L T D ER  |  CH IH L D R AH N  | ,Seeing as you have got some older children.,Seeing as you've got some older children.,736.62,113,9
AY  |  TH IH NG K  |  IH T S  |  K AA S T  |  AH  |  L AA T  | ,I think it's cost a lot.,I think it's caused a lot.,704.23,94,7
IH F  |  Y UW  |  HH AE V AH N T  |  L OW N  |  T AW N  | ,"If you haven't, go on.",If you haven't slowed down.,695.6,91,7
K IY P S  |  T UW  |  DH EH R  |  OW L  |  T ER P F  | ,Keeps to their own turf.,Keeps to their own turf.,774.02,91,7
AY  |  EH N JH OY  |  DH AH  |  N UW Z  | ,I enjoy the news.,I enjoy the news.,1162.48,84,5
EH V R IY TH IH NG  |  AY  |  L ER K T  |  AH B AW T  |  AE N JH AH N  |  R UW M  | ,Everything I liked about Anjun Room.,Everything I learned about ancient Rome.,666.69,104,8
R AY T  |  N AW  |  AY M  |  B IH Z IY  |  CH EY Z IH NG  |  M AY  |  K IH D Z  | ,Right now I'm busy chasing my kids.,Right now I'm busy chasing my kids.,715.66,104,8
W AA Z AH N  |  IH L AW N T  |  T UW  |  R AY N  |  AH  |  L ER N  |  M AO R  | ,Wasn't it long to write or learn more?,Wasn't allowed to run a lawn mower.,670.74,103,10
DH AH  |  T OW S T L AY N  |  W AA Z  |  JH AH S T  |  IH N K R AE D AH B AH L  | ,The coastline was just incredible.,The coastline was just incredible.,720.9,102,6
W AY  |  D UW  |  Y UW  |  S EY  |  DH AE T  |  AE K CH UW AH L IY  | ,"Why do you say that, actually?",Why do you say that actually.,717.7,97,8
Y UW  |  W ER  |  G R EY T  | ,You were great.,You were great.,670.69,77,4
T EH N  |  M AH N TH S  |  L EY T ER  |  HH IY  |  S EH D  | ,"Ten months later, he said.",Ten months later he said.,780.2,93,7
AY M  |  L AY K  |  T UW  |  HH IY R  |  DH AE T  | ,I'm glad to hear that.,I'm glad to hear that.,739.88,89,6
AY  |  HH AE D  |  T UW  |  CH EY N JH  |  DH AH  |  W AO T ER  |  IH N  |  DH AE T  | ,I had to change the water in that.,I had to change the water in that.,782.61,106,9
AY  |  M IY N  |  AY V  |  HH AE V AH N T  |  HH AE D  |  IH T  |  DH AE T  |  L AY K  | ,I mean I haven't had it that long.,I mean I've haven't had it that long.,818.09,108,9
W EH N  |  DH AH  |  F AO L  |  OW V ER  | ,When the fall over.,When they fall over.,908.97,83,5
CH EH K  |  AW T  |  AW ER  |  F R IY  |  V ER ZH AH N Z  | ,Check out our free versions.,Check out our free versions!,850.97,93,6
AY  |  M EY K  |  M AY  |  L IH V IH NG  |  B AY  |  F ER S T  | ,I make my living by verse.,I make my living by phone.,957.67,95,7
AY M  |  IH N  |  JH AH S JH  |  AH V  |  R EH Z IH NG  |  DH EH M  | ,I'm in charge of raising them.,I'm in charge of raising them.,811.94,98,7
AY  |  TH IH NG K  |  IH T  |  W UH D  |  W ER K  |  AW T  |  W EH L  | ,I think it would work out well.,I think it would work out well.,783.91,99,8
