prediction,ground_truth,wer,errors,ref_words
Here are my notes from the first draft of the paper.,Here are my notes from the first draft of the paper.,0.0,0,11
Do you have any pets now?,Do you have any pets now?,0.0,0,6
My mom lives like I do.,My mom lives like I do.,0.0,0,6
That is a very good point.,That is a very good point.,0.0,0,6
Who is related to who?,Who is related to who?,0.0,0,5
How much time do you spend with your children?,How much time do you spend with your children?,0.0,0,9
She is more famous since she did that.,She is more famous since she did that.,0.0,0,8
They don't make them anymore.,They don't make them anymore.,0.0,0,5
There were none left by the year two thousand.,There were none left by the year two thousand.,0.0,0,9
"Wayne State University is in Detroit, Michigan.","Wayne State University is in Detroit, Michigan.",0.0,0,7
It's an invasion of privacy.,It's an invasion of privacy.,0.0,0,5
There were no reports of casualties.,There were no reports of casualties.,0.0,0,6
The blue sky looks so pretty.,The blue sky looks so pretty.,0.0,0,6
It is impressive in more than just quantity.,It is impressive in more than just quantity.,0.0,0,8
That is strange to me.,That is strange to me.,0.0,0,5
I'm worth more money than they are.,I'm out more money than they are.,0.14285714285714285,1,7
I am from Argentina.,I am from Argentina.,0.0,0,4
It is like many the clergy.,It is like winning the lottery.,0.3333333333333333,2,6
I did it all of the time.,I did it all on the job.,0.2857142857142857,2,7
Both can be a little bit juvenile.,Pets can be a lot of trouble.,0.5714285714285714,4,7
Whatever you like.,Whatever you like.,0.0,0,3
The movie is so funny.,The movie is slow burning.,0.4,2,5
We don't listen to any elevator music at my house.,We don't listen to any elevator music at my house.,0.0,0,10
What do you think?,What do you think?,0.0,0,4
He was a good player.,He was a good player.,0.0,0,5
You came out on top.,You came out on top.,0.0,0,5
That really sticks me off.,That really ticks me off.,0.2,1,5
There were thousands of calls on the phone.,There were thousands of cows on the farm.,0.25,2,8
"Now, some people object, citing primary dependence.",Now some people object during primary debates.,0.2857142857142857,2,7
You have to do the random drug testing.,You have to do the random drug testing.,0.0,0,8
"The recipe turned out great, thanks to you.",The recipe doesn't require kneading the dough.,0.8571428571428571,6,7
They could sell five million of these.,They could sell five million of those.,0.14285714285714285,1,7
The retrenching was along well with that.,The ranch dressing goes along well with that.,0.375,3,8
It used to cost six bucks.,It used to cost six bucks.,0.0,0,6
In these situations I don't know how to behave.,In those situations I don't know how to behave.,0.1111111111111111,1,9
It would be faster just to make one.,It would be fun just to win one.,0.25,2,8
The full decision spectrum is available here.,The full decision statement is available here.,0.14285714285714285,1,7
Especially with Marty and Ari on them.,Especially with butter and honey on them.,0.2857142857142857,2,7
"I'm interested in seeing it, it might help us.",I'm interested in having it in my office.,0.625,5,8
I do that talk to many people on the palliative.,I do not talk to many people in the military.,0.3,3,10
How do they need to trade before the deadline?,Who do they need to trade before the deadline?,0.1111111111111111,1,9
You will gain competence with respect to the material.,You will gain competence with respect to the material.,0.0,0,9
It's not hard to find a job that's part time.,It's not hard to find a job that's part time.,0.0,0,10
Do you still drive that old car?,Do you still drive that old car?,0.0,0,7
They would have to be supported in some way.,They would have to be supported in some way.,0.0,0,9
I miss the intellectual stimulation of taking classes in college.,I miss the intellectual stimulation of taking classes in college.,0.0,0,10
As you get older you will understand.,As you get older you will understand.,0.0,0,7
You would know if you lost it or something.,You would know if you lost it or something.,0.0,0,9
Are you a computer hacker?,Are you a computer hacker?,0.0,0,5
There is a very serious situation across the street.,There is a very serious situation across the street.,0.0,0,9
I don't make that much money.,I don't make that much money.,0.0,0,6
It's actually just twelve years old.,It's actually just twelve years old.,0.0,0,6
They were not really into sports.,They were not really into sports.,0.0,0,6
Thank you and please enjoy your stay.,"Thank you, and please enjoy your stay!",0.0,0,7
My favorite author just released a brand new book.,My favorite author just released a brand new book.,0.0,0,9
I didn't know there was such a thing.,I didn't know there was such a thing.,0.0,0,8
That is my retirement plan.,That is my retirement plan.,0.0,0,5
I would like to see a little bit more of that.,I would like to see a little bit more of that.,0.0,0,11
I have to balance work and life.,I have to balance work and life.,0.0,0,7
He took care of it.,He took care of it.,0.0,0,5
I love to watch cartoons on Saturday morning.,I love to watch cartoons on Saturday morning.,0.0,0,8
She will be a sophomore in high school next year.,She will be a sophomore in high school next year.,0.0,0,10
Some interviews will be a lot more casual.,Some interviews will be a lot more casual.,0.0,0,8
You have just what store to buy.,You have a choice of which car to buy.,0.5555555555555556,5,9
My real concern is this.,My real concern is this.,0.0,0,5
It's been kind of scary.,It's been kind of scary.,0.0,0,5
They would have never built it.,They would have never picked it out.,0.2857142857142857,2,7
That is way their kind played out weak.,That is why they're kind of behind on work.,0.6666666666666666,6,9
She can do it.,She can do it.,0.0,0,4
She's like seventy-four years old now.,She's like seventy four years old now.,0.2857142857142857,2,7
I couldn't exercise.,I couldn't understand.,0.3333333333333333,1,3
I just want to enjoy myself a little bit.,I just want to enjoy myself a little bit.,0.0,0,9
It costs gap or twenty dollars per ounce.,It costs ten or twenty dollars per ounce.,0.125,1,8
Up north it's real different for you.,Of course it's real convenient for you.,0.42857142857142855,3,7
At my insurance is set to expire.,And my insurance is about to expire.,0.2857142857142857,2,7
I sew clothes for them every once a month.,I sew clothes for them every once in a while.,0.2,2,10
He won a few trips or something along those lines.,He won a free trip or something along those lines.,0.2,2,10
The brakes were pressed onto rear it.,The sport looks fun until you're playing it.,0.75,6,8
You have to look around at the school.,You have to look around at the school.,0.0,0,8
I still like the New York Giants.,I still like the New York Giants.,0.0,0,7
I majored in environmental engineering in college.,I studied environmental engineering in college.,0.3333333333333333,2,6
My youth really wanted a bit more.,My son really wanted a pet bird.,0.42857142857142855,3,7
What have the biggest crises as the animal kingdom?,One of the biggest creatures in the animal kingdom.,0.4444444444444444,4,9
Have you thought about therapies that are based on reiki?,Have you seen that one about survivors in the Amazon rain forest?,0.75,9,12
I hope everything works out up there.,I hope everything works out up there.,0.0,0,7
Are you pleased with this decision?,Are you pleased with this decision?,0.0,0,6
The town is just over the hill here.,The town is just over the hill here.,0.0,0,8
It's totally ridiculous.,It's totally ridiculous.,0.0,0,3
"In other words, there is a choice to make.","In other words, there is a choice to make.",0.0,0,9
That does not seem quite fair.,That does not seem quite fair.,0.0,0,6
That is horrible.,That is horrible.,0.0,0,3
Fill the jar to the top with boiling water.,Fill the jar to the top with boiling water.,0.0,0,9
It was a prime time football game.,It was a prime time football game.,0.0,0,7
Not too long ago.,Not too long ago.,0.0,0,4
She has had really good luck this year.,She has had really good luck this year.,0.0,0,8
I went back to school and got my master's degree.,I went back to school and got my Master's degree.,0.0,0,10
Then I heard a very loud explosion.,Then I heard a very loud explosion.,0.0,0,7
My dad is a potato farmer.,My dad is a potato farmer.,0.0,0,6
That's a good option to consider.,That's a good option to consider.,0.0,0,6
Do you want to eat inside or outside?,Do you want to eat inside or outside?,0.0,0,8
And so we usually sit outside.,And so we usually sit outside.,0.0,0,6
Professors from other universities will present their research.,Professors from other universities will present their research.,0.0,0,8
They are now starting to make them.,They are now starting to make them.,0.0,0,7
I guess there are a few things around still.,I guess there are a few things around still.,0.0,0,9
They are so small.,They are so small.,0.0,0,4
It is a fairly large liberal arts college as well.,It is a fairly large liberal arts college as well.,0.0,0,10
Having a job will keep you out of trouble.,Having a job will keep you out of trouble.,0.0,0,9
I like it here.,I like it here.,0.0,0,4
"Rigorously, the conversation takes into account all elements.","Occasionally, the conversation turns into an argument.",0.7142857142857143,5,7
We need to buy more of them.,We need to buy more and more of them.,0.2222222222222222,2,9
I got that at Joe's just down there.,A guy that I know just got a job there.,0.7,7,10
I hope you all enjoy this.,I hope you all enjoy this!,0.0,0,6
Where I go to church now.,Where I go to church now.,0.0,0,6
It's hard for me to adapt.,It's hard for me to admit.,0.16666666666666666,1,6
You don't get nearly enough exercise.,You don't get nearly enough exercise.,0.0,0,6
She'll be two years old in July.,She'll be two years old in July.,0.0,0,7
I filed my taxes early this year.,I filed my taxes early this year.,0.0,0,7
You still need your mother's permission.,You still need your mother's permission.,0.0,0,6
And a very good afternoon to you.,And a very good afternoon to you.,0.0,0,7
American car companies.,American car companies.,0.0,0,3
I've got a two year old and a four year old.,I've got a two year old and a four year old.,0.0,0,11
That's pretty much the sound end of the state.,That's pretty much the south end of the state.,0.1111111111111111,1,9
I was kind of into it for a while there.,I was kind of into it for a while there.,0.0,0,10
Occasionally these things may not be true.,"Occasionally, these things may not be true.",0.0,0,7
I'll get around to it.,I'll get around to it.,0.0,0,5
It's a package deal.,It's a package deal.,0.0,0,4
The result of the test was negative.,The result of the test was negative.,0.0,0,7
I will be visiting New England.,I will be visiting New England.,0.0,0,6
I guess because we don't care all that much.,I guess because we don't go out that much.,0.2222222222222222,2,9
The daycare accepted infants starting at six weeks old.,The day care accepted infants starting at six weeks old.,0.2,2,10
An absolute certainty.,An absolute certainty.,0.0,0,3
I think it is a wonderful intimate place.,I think it is a wonderful interim place.,0.125,1,8
We did go camping in Arkansas.,We did go camping in Arkansas.,0.0,0,6
That would have been something.,That would have been something.,0.0,0,5
I would contemplate going in a cruise now.,I would contemplate going on a cruise now.,0.125,1,8
You know what I would love.,You know what I would love.,0.0,0,6
It was out of his hands at that point.,It was out of his hands at that point.,0.0,0,9
For legal reasons and that's what I know.,For legal assistant and that's what I know.,0.125,1,8
My wife and I both like it.,My wife and I both like it.,0.0,0,7
How do you measure it?,How do you measure it?,0.0,0,5
I don't really follow the news very closely.,I don't really follow the NBA very closely.,0.125,1,8
She was perhaps a little bit leery of her.,She was always a little bit leery of her.,0.1111111111111111,1,9
It's really hot too.,It's really hard to.,0.5,2,4
It looks like it would be.,It looks like it would be.,0.0,0,6
"That would be devastating, I'm sure.",That would be devastating I'm sure.,0.0,0,6
If it's run by the institutional state.,If it's run by the individual state.,0.14285714285714285,1,7
"And so you know, and it's his choice to make.","And so, you know, and it's his choice to make.",0.0,0,10
You just gave it away.,You just gave it away.,0.0,0,5
The accident ran situation or the Olson diplation.,The acid rain situation or the ozone depletion?,0.5,4,8
Employment income.,Employment income.,0.0,0,2
I have to be real careful.,I have to be real careful.,0.0,0,6
I hope they enjoyed this article.,I hope you enjoyed this article.,0.16666666666666666,1,6
My husband travels.,My husband travels.,0.0,0,3
They're not opening up shops.,They're not owning homes.,0.75,3,4
Where do you go camping at around here?,Where do you go camping at around here?,0.0,0,8
I try to save that for the weekend.,I try to save that for the weekend.,0.0,0,8
We've got these ones.,We've got these ones.,0.0,0,4
That's just the way it was.,That's just the way it was.,0.0,0,6
Victimals crawl in the fence.,Vegetables grow in the fields.,0.6,3,5
It's kind of like during this loan.,It's kind of like drawing this line.,0.2857142857142857,2,7
I had gone to a very friendly little area.,I had gone to a very dimly lit area.,0.2222222222222222,2,9
Which one is the tourist area?,Which one is the tourist area?,0.0,0,6
I was raised in New York.,I was raised in New York.,0.0,0,6
When you leave a job.,When you leave a job.,0.0,0,5
That's the only pollution that's been there.,That's the only pollution that's been there.,0.0,0,7
They needn't a smaller setting.,They needed a smaller setting.,0.2,1,5
They put it out in a video.,They put it out in a video.,0.0,0,7
Especially in the winter.,Especially in the winter.,0.0,0,4
You like bikes and things.,You like pets and things.,0.2,1,5
Like building a house or anything.,Like building a house or anything.,0.0,0,6
I don't think I would have insurance.,I don't think I would have insurance.,0.0,0,7
"It's home by road, bay.",It's up by Green Bay.,0.4,2,5
I make a lot of my responses myself.,I make a lot of my Christmas presents.,0.25,2,8
I think a lot of choices.,I think a lot of choices.,0.0,0,6
Get rejected or what not.,Get arrested or what not.,0.2,1,5
That decision is expected early next week.,That decision is expected early next week.,0.0,0,7
It is fine.,It is fine.,0.0,0,3
I was raised in this area.,I was raised in this area.,0.0,0,6
He scored better than we did on the final exam.,He scored better than we did on the final exam.,0.0,0,10
Did you see it the other night?,Did you see it the other night?,0.0,0,7
"Yeah, I really mean that.",Yeah I really mean that.,0.0,0,5
He's been a legend for so many years.,He's been a legend for so many years.,0.0,0,8
I can still read music.,I can still read music.,0.0,0,5
How are you liking it?,How are you liking it?,0.0,0,5
I was on and off silly drugs.,I was accused of selling drugs.,0.6666666666666666,4,6
Did you find it hard to make decisions?,Did you find it hard to make decisions?,0.0,0,8
How did you come to join that team?,How did you come to join that team?,0.0,0,8
I went back home tonight.,I went back home tonight.,0.0,0,5
The Tor Mail Ray.,The door bell rang.,0.75,3,4
I think I did too use insecticide on my lawn.,I try not to use insecticides on my lawn.,0.5555555555555556,5,9
It does not stir up as much as I remember while growing up.,It does not snow as much as I remember while growing up.,0.16666666666666666,2,12
We just drove through Oklahoma City.,We drove through Oklahoma City.,0.2,1,5
After cremation the remains will go on to a variety of causes.,"After graduation, the students will go on to a variety of colleges.",0.25,3,12
It's still in great shape.,It's still in great shape.,0.0,0,5
The military has a strong presence in the Persian Gulf.,The military has a strong presence in the Persian Gulf.,0.0,0,10
That is peanuts compared to what I usually buy.,That is cheap compared to what I usually buy.,0.1111111111111111,1,9
"On the other hand, I am quite good.","On the other hand, I am quite good.",0.0,0,8
I love this country so much.,I love this country so much.,0.0,0,6
You get the point.,You get the point.,0.0,0,4
Were you totally from Texas?,Were you calling me from Texas?,0.3333333333333333,2,6
"I love eating pickles, bye.",I love eating pecan pie.,0.4,2,5
We went to go see the Marvel movie Thor.,We went to go see The Godfather Part Three.,0.3333333333333333,3,9
It is strange enough.,It is strange enough.,0.0,0,4
I think its relevance is pretty rebutted.,I think its relevance is pretty limited.,0.14285714285714285,1,7
Came up first to the recess.,Give a voice to the voiceless!,0.6666666666666666,4,6
There has been a change in the laws of war.,There has been a change in the price of oil.,0.2,2,10
I absolutely loved it.,I absolutely loved it.,0.0,0,4
I guess what you have to do is just relax.,I guess what you have to do is just relax.,0.0,0,10
I think tiny homes can be good for some people.,I think nursing homes can be good for some people.,0.1,1,10
He's going to be traveling to Europe with a group of friends.,He's going to be traveling to Europe with a group of friends.,0.0,0,12
They live in a little white frame house.,They live in a little white frame house.,0.0,0,8
They failed because of his drug addiction.,They fell out because of his drug addiction.,0.25,2,8
Nobody remembers him as a loser.,Nobody remembers him as a loser.,0.0,0,6
Teach children to love reading for pleasure.,Teach children to love reading for pleasure.,0.0,0,7
So what company do you work for?,So what company do you work for?,0.0,0,7
We had such a good time.,We had such a good time.,0.0,0,6
It's kind of funny.,It's kind of funny.,0.0,0,4
Because a lot of our friends will be coming over later.,Because a lot of our friends will be coming over later.,0.0,0,11
That will be a big thrill for them.,That will be a big thrill for them.,0.0,0,8
Do you have any kids or pets?,Do you have any kids or pets?,0.0,0,7
"Well, that just pretty good.",Well that sounds pretty good.,0.2,1,5
That's what I was about to say.,That's what I was about to say.,0.0,0,7
But they're planning on doing it very soon.,But they're planning on doing it very soon.,0.0,0,8
You live right across the street from my daughter.,You live right across the street from my daughter.,0.0,0,9
You know some of that.,You know some of that.,0.0,0,5
I don't understand any of that.,I don't understand any of that.,0.0,0,6
It's actually turning out to be even worse than we thought.,It's actually turning out to be even worse than we thought.,0.0,0,11
My daughter is in kindergarten.,My daughter is in kindergarten.,0.0,0,5
You don't have to worry that much.,You don't have to worry that much.,0.0,0,7
I am pretty aware of what goes on here.,I am pretty aware of what goes on here.,0.0,0,9
I really don't have any problem with it.,I really don't have any problem with it.,0.0,0,8
I did not earn my degree until later on in my life.,I did not earn my degree until later on in my life.,0.0,0,12
That was the point.,That was the point.,0.0,0,4
He's just so tall.,He's just so tall.,0.0,0,4
It is important for women who need to work.,It is important for women who need to work.,0.0,0,9
They are here for a purpose.,They are here for a purpose.,0.0,0,6
We got together every summer for vacation.,We got together every summer for vacation.,0.0,0,7
We could spend that money very quickly.,We could spend that money very quickly.,0.0,0,7
I took care of the children.,I took care of the children.,0.0,0,6
It's not like he had a choice.,It's not like he had a choice.,0.0,0,7
Lunch was like thirteen dollars or something.,Lunch was like thirteen dollars or something.,0.0,0,7
And I think he's as guilty as the devil.,And I think he's as guilty as the devil.,0.0,0,9
I couldn't believe how much it cost.,I couldn't believe how much it cost.,0.0,0,7
We know what we can do.,We know what we can do.,0.0,0,6
I like being involved in things like this.,I like being involved in things like this.,0.0,0,8
The brand new company is making a lot of money.,The brand new company is making a lot of money.,0.0,0,10
I'm going to go to the grocery store.,I'm going to go to the grocery store.,0.0,0,8
I was so thrilled that they visited me.,I was so thrilled that they visited me.,0.0,0,8
"So, imagine all of his thoughts being spoken in that voice.",So imagine all of his lines being spoken in that voice.,0.09090909090909091,1,11
It has been a really nice spring.,It has been a really nice spring.,0.0,0,7
The movie had a lot of nudity and curse words.,The movie had a lot of nudity and curse words.,0.0,0,10
Take a piece of paper to draw on.,Take a piece of paper to draw on.,0.0,0,8
I think it's important to know about this.,I think it's important to know about this.,0.0,0,8
You will learn more about the characters in the book.,You will learn more about the characters in the book.,0.0,0,10
People are having their civil rights taken away.,People are having their civil rights taken away.,0.0,0,8
What some of these people went through is terrible.,What some of these people went through is terrible.,0.0,0,9
I played a large role in that decision.,I played a large role in that decision.,0.0,0,8
We have had no snow this winter.,We have had no snow this winter.,0.0,0,7
Vote for your top choice.,Vote for your top choice.,0.0,0,5
Some of them did say that.,Some of them did say that.,0.0,0,6
I can understand their viewpoint.,I can understand their viewpoint.,0.0,0,5
Divide the money up pretty equally among us.,Divide the money up between all of us.,0.375,3,8
"That would be devastating, I'm sure.",That would be devastating I'm sure.,0.0,0,6
It ends run by the interventional stent.,If it's run by the individual state.,0.5714285714285714,4,7
It's his choice to make.,It's his choice to make.,0.0,0,5
You just gave it away.,You just gave it away.,0.0,0,5
Are you talking about the accident rate situation or the ozone depletion?,Are you talking about the acid rain situation or the ozone depletion?,0.16666666666666666,2,12
Employment income.,Employment income.,0.0,0,2
I have to be very careful.,I have to be real careful.,0.16666666666666666,1,6
I hope you enjoyed this article.,I hope you enjoyed this article.,0.0,0,6
My husband travels frequently.,My husband travels frequently.,0.0,0,4
They're not buying homes.,They're not buying homes.,0.0,0,4
The girls at school are all wearing clothes from the sixties.,The girls at school are all wearing clothes from the sixties.,0.0,0,11
You probably wouldn't recognize me.,You probably wouldn't recognize me.,0.0,0,5
It was on the news every night.,It was on the news every night.,0.0,0,7
This story is not unusual.,His story is not unusual.,0.2,1,5
I had fun and enjoyed it.,I had found an entry point.,0.6666666666666666,4,6
They don't kill the animals.,They don't kill the animals.,0.0,0,5
Selling bottles of water.,Selling bottles of water.,0.0,0,4
Bezos has usually for traders.,Business as usual for traders.,0.6,3,5
They give us a package deal.,They gave us a special deal.,0.3333333333333333,2,6
The reality is that's usually not the case.,The reality is that's usually not the case.,0.0,0,8
I wonder where they learned to do that.,I wonder where they learned to do that.,0.0,0,8
He kept his tone light and casual but firm.,"He kept his tone light and casual, but firm.",0.0,0,9
I really like that show.,I really like that show.,0.0,0,5
A fairly good amount.,A fairly good amount.,0.0,0,4
That pleased me.,That pleased me.,0.0,0,3
We are good people.,We are good people.,0.0,0,4
I've heard him talk about that for hours.,I've heard him talk about that for hours.,0.0,0,8
Of course.,Of course.,0.0,0,2
It wasn't even funny.,It wasn't even funny.,0.0,0,4
If only I could remember the name.,If only I could remember the name.,0.0,0,7
I don't think the teachers are the problem.,I don't think the teachers are the problem.,0.0,0,8
Public relations.,Public relations.,0.0,0,2
It's very easy to swing in there for breakfast.,It's real easy to swing in there for breakfast.,0.1111111111111111,1,9
Then you find it again and lose it again.,Then you find it again and lose it again.,0.0,0,9
We've got four kids.,We've got four kids.,0.0,0,4
My little girl likes blue more than pink.,My little girl likes blue more than pink.,0.0,0,8
In May it will be five years since I met him.,In May it will be five years since I met him.,0.0,0,11
My wife and daughter were kidnapped.,My wife and daughter were kidnapped.,0.0,0,6
Sentence result with is both.,Satan rejoiced with his birth.,0.8,4,5
It was his decision and you have to respect it.,It was his decision and you have to respect it.,0.0,0,10
"No, I didn't go to the store.",No I didn't go to the store.,0.0,0,7
We will head to Florida for vacation.,We will head to Florida for vacation.,0.0,0,7
Take a stacks of books or small quiet toys.,Take a stash of books or small quiet toys.,0.1111111111111111,1,9
I would reconsider where I was buying it from.,I would reconsider where I was buying it from.,0.0,0,9
It was rented at a third grade level.,It was written at a third grade level.,0.125,1,8
There never are not of that ransoms here.,They're doing a lot of good research here.,0.75,6,8
"If it does, the time.",If it does the job.,0.2,1,5
Do you like to drive?,Do you like to travel?,0.2,1,5
The state and the city are content in its toll.,The state and the city are contradicting each other.,0.4444444444444444,4,9
I did prisoners' rights litigation.,How did researchers reach this conclusion?,0.8333333333333334,5,6
You don't need a passport.,You don't need a personal one.,0.3333333333333333,2,6
The measure passed the House by a large margin.,The measure passed the House by a landslide vote.,0.2222222222222222,2,9
They said he has a little talent to read.,They sent us a little booklet to read.,0.5,4,8
Why is this such an unusual thing to do?,Why is this such an unusual thing to do?,0.0,0,9
Report the rides in all.,Between the rows and all.,0.6,3,5
We have a day to soak up as much as we can.,We have a dog too so that adds to it.,0.9,9,10
Took a seat on the bench.,Take a seat on the bench.,0.16666666666666666,1,6
My husband is real into jazz too.,My husband is real into sports too.,0.14285714285714285,1,7
I don't know if it's that serious.,I don't know if it's that serious.,0.0,0,7
I'm going to visit relatives and do laundry.,I'm going to visit Florida and Louisiana.,0.42857142857142855,3,7
Cars have come down in price significantly.,Cars have come down in price significantly.,0.0,0,7
When we bought it last year.,When we bought it last year.,0.0,0,6
I kind of wish that they had a little luck for the most.,I kind of wish that they had a little league for the boys.,0.15384615384615385,2,13
It's nice to have a bad dog.,It's nice to have a pet dog.,0.14285714285714285,1,7
That's one good thing about every account though.,That's one good thing about having a cat though.,0.3333333333333333,3,9
The newspaper settled lifting the debt.,The rich people started leaving the city.,0.7142857142857143,5,7
"Actually, it makes sense to a certain extent.","Actually, it makes sense to a certain extent.",0.0,0,8
Doesn't seem like it so far.,Doesn't seem like it so far.,0.0,0,6
When was it?,When was it?,0.0,0,3
That's a science in itself.,That's a science in itself.,0.0,0,5
But it didn't get the happy part of my movie.,But it didn't get the upper part of my body.,0.2,2,10
When you decide to make a step.,When you decide to make the step.,0.14285714285714285,1,7
We seem to agree on that.,We seem to agree on that.,0.0,0,6
Get the recipe from them.,Get the recipe from them.,0.0,0,5
About three years ago.,About three years ago.,0.0,0,4
What shall we do?,What shall we do?,0.0,0,4
The immune system can slow down at first.,The immune system can slow down at first.,0.0,0,8
I have two other sisters.,I have two other sisters.,0.0,0,5
I think it could affect the outcome.,I think it could affect the outcome.,0.0,0,7
Some of the students are failing the class.,Some of the students are failing the class.,0.0,0,8
Now I remember it.,Now I remember it.,0.0,0,4
I'm sure you will find something.,I'm sure you will find something.,0.0,0,6
"About the same, I dress for school.",About the same I dress for school.,0.0,0,7
I mean he's doing alright.,I mean he's doing alright.,0.0,0,5
It was a real special day.,It was a real special day.,0.0,0,6
I guess I never heard the history of that.,I guess I never heard the history of that.,0.0,0,9
I wanted one of them to be on drugs.,I wouldn't want them to be on drugs.,0.375,3,8
The neighbor across the street just moved in.,The neighbor across the street just moved in.,0.0,0,8
A natural gas explosion.,A natural gas explosion.,0.0,0,4
Decisions that are being made by world leaders.,Decisions that are being made by world leaders.,0.0,0,8
She was delivered the next day.,She was delivered the next day.,0.0,0,6
I wouldn't say it's as bad as you.,I wouldn't say it's as bad as New York.,0.2222222222222222,2,9
He could get hurt.,He could get hurt.,0.0,0,4
Some of them are our problems.,Some of them are our problems.,0.0,0,6
Who would they ask for clarification?,Who would they ask for clarification?,0.0,0,6
We all like my oldest brother.,We all like my oldest brother.,0.0,0,6
Did you see any of those?,Did you see any of those?,0.0,0,6
Don't you hate that?,Don't you hate that?,0.0,0,4
It would be nice if they could get them together.,It would be nice if they could get them together.,0.0,0,10
But do you think Bill Gates should resign?,But do you think Bill Gates should resign?,0.0,0,8
"Evidently, he was elected president.",Evidently he was elected president.,0.0,0,5
We not have we're pretty here and there.,We met half way between here and there.,0.5,4,8
I'm getting a bad feeling here.,I'm getting a gut feeling here.,0.16666666666666666,1,6
None it rents up by the cost.,Does it justify the cost?,0.8,4,5
"Well, it's a little bit crazy.",While it's healing take it easy.,0.8333333333333334,5,6
So that's got everybody extorted.,So that's got everybody excited.,0.2,1,5
Didn't mean to cut you off there.,Didn't mean to cut you off there.,0.0,0,7
These cars just want attention.,These guys just want attention.,0.2,1,5
To really challenge them.,To really challenge them.,0.0,0,4
It's actually the first car we ever bought new.,It's actually the first car we ever bought new.,0.0,0,9
Counting things quantitatively is usually the way to go.,Keeping things concise is usually the way to go.,0.2222222222222222,2,9
When I had my magazines at home.,When I had my magazines at home.,0.0,0,7
That's really funny but also disturbing.,That's really funny but also disturbing.,0.0,0,6
I apologize for the disturbance.,Are you pleased with this decision?,1.0,6,6
The dog is just over the hill here.,The town is just over the hill here.,0.125,1,8
It is totally ridiculous.,It is totally ridiculous.,0.0,0,4
"It, at the most, that is jarring to book.","In other words, there is a choice to make.",0.8888888888888888,8,9
That do the from beg your.,That does not seem quite fair.,0.8333333333333334,5,6
That is opportunity.,That is horrible.,0.3333333333333333,1,3
Fill the jug to the top with boiling water.,Fill the jar to the top with boiling water.,0.1111111111111111,1,9
It was a close football game.,It was a prime time football game.,0.2857142857142857,2,7
It is all pretty good luck this year.,She has had really good luck this year.,0.5,4,8
I went back to school and got my master's degree.,I went back to school and got my Master's degree.,0.0,0,10
I hope other things work out up there.,I hope everything works out up there.,0.42857142857142855,3,7
I hope this is temptation.,Are you pleased with this decision?,1.0,6,6
The town is just over the hill here.,The town is just over the hill here.,0.0,0,8
It is totally rational.,It is totally ridiculous.,0.25,1,4
"In other words, there is a choice to make.","In other words, there is a choice to make.",0.0,0,9
That is that same word for word.,That does not seem quite fair.,1.0,6,6
That is correct.,That is horrible.,0.3333333333333333,1,3
Fill the tray to the top with boiling water.,Fill the jar to the top with boiling water.,0.1111111111111111,1,9
It was a big time soccer game.,It was a prime time football game.,0.2857142857142857,2,7
She have had pretty good luck this year.,She has had really good luck this year.,0.25,2,8
I went back to school and got my master's degree.,I went back to school and got my Master's degree.,0.0,0,10
In the next five years.,In the next five years.,0.0,0,5
College credit for community service is a good idea.,College credit for community service is a good idea.,0.0,0,9
Ethical and religious fields are need and measure.,Ethical and religious views on need and pleasure.,0.375,3,8
The government offers financial services.,The government offers financial services.,0.0,0,5
Mix some cream sauce with it and pour it over rice.,Mix some cream sauce with it and pour it over rice.,0.0,0,11
People are stamping out of school.,People are dropping out of school.,0.16666666666666666,1,6
A lot of chicken and rice.,A lot of chicken and rice.,0.0,0,6
"As soon as I knew, as I had them.",As soon as I had them.,0.5,3,6
I was tired during that whole month.,I was tired during that whole month.,0.0,0,7
We hope you enjoy your stay.,We hope you enjoy your stay!,0.0,0,6
We are not trying to resent them or anything.,We are not trying to mistreat them or anything.,0.1111111111111111,1,9
How can I avoid being infected by a virus?,How can I avoid being infected by a virus?,0.0,0,9
You don't have to be an expert to play this game.,You don't have to be an expert to play this game.,0.0,0,11
I live in a farming community.,I live in a farming community.,0.0,0,6
Do you have any friends with older children?,Do you have any friends with older children?,0.0,0,8
"When things don't go right, you have to adjust.",When things don't go right you have to adjust.,0.0,0,9
What should I do?,What should I do?,0.0,0,4
The precipitation of a church rain dissolved.,The first demonstration of a touch screen display.,0.625,5,8
Not in a civilized society.,Not in a civilized society.,0.0,0,5
And they really seem wise.,And they really seem wise.,0.0,0,5
They're not really even participating.,They're not really even participating.,0.0,0,5
Not with all the other things going on today.,Not with all the other things going on today.,0.0,0,9
We used to always enjoy watching that show.,We used to always enjoy watching that show.,0.0,0,8
You go on outside and play.,You go on outside and play.,0.0,0,6
So do you like your new truck?,So do you like your new truck?,0.0,0,7
You'd think that it was a private school.,You'd think that it was a private school.,0.0,0,8
They've started a drug testing policy.,They've started a drug testing policy.,0.0,0,6
I think there's about seventy-five people here.,I think there's about seventy five people here.,0.25,2,8
Whatever they told you is a lie.,Whatever they tell you is a lie.,0.14285714285714285,1,7
They can't do as to of a gum.,They can't do as good of a job.,0.25,2,8
"Everybody is still here, starving.",Everybody is sitting here screaming.,0.4,2,5
I just can't do those type of puzzles.,I just can't do those types of puzzles.,0.125,1,8
